Available,Duration,Total_Fare,no_of_days_to_flight,Airways_Air India,Airways_AirAsia,Airways_Go Air,Airways_IndiGo,Airways_Jet Airways,Airways_Spicejet,Airways_Vistara,Dept_Time_BSR,Dept_Time_MDSS,Dept_Time_SRMD,Dept_Time_SSMN,Arr_Time_BSR,Arr_Time_MDSS,Arr_Time_SRMD,Arr_Time_SSMN,Hopping_False,Hopping_True
3,895,11149,8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
9,375,10551,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
4,130,3564,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
7,320,10315,55,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,230,7784,20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
7,610,7065,55,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
7,1030,9375,18,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
7,785,5821,52,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
9,1270,6246,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
18,260,7120,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,130,8911,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,1650,7653,28,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
7,150,3286,25,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
7,695,7012,38,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,1500,7042,19,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
6,1375,11853,15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1,240,6412,54,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
6,1045,5227,47,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
7,320,9196,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
9,1270,6246,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
7,545,7012,40,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
